name,ring,quadrant,isNew,description,,,,,,,,,,,,,,,,,,,,,
AWS ElasticSearch,Assess,Platforms,TRUE,AWS Elasticsearch service,,,,,,,,,,,,,,,,,,,,,
Gitlab,Adopt,Platforms,TRUE,Collaborative tool supporting whole software life clycle,,,,,,,,,,,,,,,,,,,,,
Continuous Delivery,Adopt,Techniques,TRUE,Automating release on code merging,,,,,,,,,,,,,,,,,,,,,
Contract Testing,Adopt,Techniques,TRUE,"On integration, it checks every service api compatibility with its collaborators   ",,,,,,,,,,,,,,,,,,,,,
CQRS,Adopt,Techniques,TRUE,Command Query Responsibility Segregation. Separating this two concerns allows systems to have a design that can scale independently in each direction.  ,,,,,,,,,,,,,,,,,,,,,
Reactive Architecture,Adopt,Techniques,TRUE,"Principle that describe systems that are responsive, resilient, elastic and message driven",,,,,,,,,,,,,,,,,,,,,
Schema Evolution Serialization,Adopt,Techniques,TRUE,Allows to evolve system messages keeping retrocompatibility and in some cases changes tracking. Similar techniques applies to db schemas or even-sourcing.,,,,,,,,,,,,,,,,,,,,,
Service mesh,Assess,Techniques,TRUE,Isolate services behind a common communication layer  ,,,,,,,,,,,,,,,,,,,,,
WhiteListening permissions,Adopt,Techniques,TRUE,"On granting access to resources,  omissions should not be interpreted at all ",,,,,,,,,,,,,,,,,,,,,
Blue-Green Deployments,Hold,Techniques,TRUE,On favor on rolling updates when possible,,,,,,,,,,,,,,,,,,,,,
Event Sourcing,Adopt,Techniques,TRUE,"Persistence technique that works very well in distributed, resilient and eventually consistent systems. ",,,,,,,,,,,,,,,,,,,,,
Role-Based Access Control,Trial,Techniques,TRUE,Resource oriented access control approach where the user/gent can adopt several roles in order to performs actions resources policies,,,,,,,,,,,,,,,,,,,,,
Devops Culture,Adopt,Techniques,TRUE,Principle in software life cicle where the whole dev. team performs operations using automated tasks,,,,,,,,,,,,,,,,,,,,,
Continuous Integration,Adopt,Techniques,TRUE,Practice that automate code delivering into testing environments ,,,,,,,,,,,,,,,,,,,,,
Event Streaming,Trial,Techniques,TRUE,"Support for techniques like pub/sub, back preasure, reentrant messages and gurantees deliver",,,,,,,,,,,,,,,,,,,,,
Single source of truth,Adopt,Techniques,TRUE,"In any system, specially distributed, any state is own by a single collaborator ",,,,,,,,,,,,,,,,,,,,,
Runtime dependency injection,Hold,Techniques,TRUE,Any dependency within same code base must be resolved on compilation time,,,,,,,,,,,,,,,,,,,,,
Static types and type inference,Adopt,Techniques,TRUE,Great support for crating accurate domain models and functional expressions,,,,,,,,,,,,,,,,,,,,,
Cassandra,Assess,Tools,TRUE,"Distributed database engine, column-based, could be a way to simplify stacks where coexits several relational and no-sql databases",,,,,,,,,,,,,,,,,,,,,
Kafka,Assess,Tools,TRUE,Message broker that guarrantees delivering messages and allows consumer to subscribe to topics. Very well integrated in Scala ecosystem.,,,,,,,,,,,,,,,,,,,,,
Git,Adopt,Tools,TRUE,Code versioning system,,,,,,,,,,,,,,,,,,,,,
TDD,Adopt,Techniques,TRUE,Test driven development,,,,,,,,,,,,,,,,,,,,,
